x,y,inside
0.43107849,0.52233493,1
0.70519459,0.11822595,1
0.32474649,0.58536386,1
0.83574331,0.06370663,1
0.63564688,0.47802547,1
0.29683828,0.16355605,1
0.90371013,0.74077296,0
0.77321583,0.42094570,1
0.47431466,0.50025761,1
0.77393997,0.94210976,0
0.08487312,0.01436736,1
0.11996487,0.35231292,1
0.49682707,0.18607309,1
0.44740286,0.43925214,1
0.39665544,0.64384758,1
0.13672723,0.26528171,1
0.12838501,0.29109675,1
0.48336679,0.33516529,1
0.07550129,0.36109525,1
0.25497466,0.61477327,1
0.72543705,0.36773312,1
0.63435006,0.30297750,1
0.01638992,0.73710483,1
0.97315294,0.56410491,0
0.94576687,0.14935741,1
0.33439407,0.95397079,0
0.07795365,0.76806402,1
0.68174499,0.69183940,1
0.36441833,0.14677106,1
0.45769492,0.80971694,1
0.42266795,0.03747361,1
0.79582489,0.89893770,0
0.09603050,0.07774199,1
0.73300236,0.04632727,1
0.14441328,0.47048369,1
0.15117441,0.51977968,1
0.24098517,0.74050879,1
0.62426674,0.02908654,1
0.58563644,0.57309657,1
0.38647929,0.56240207,1
0.12586190,0.93482083,1
0.74363863,0.81976241,0
0.41856554,0.55546302,1
0.54067010,0.54126608,1
0.01654227,0.88291454,1
0.35062271,0.50844520,1
0.77332401,0.25964570,1
0.65127069,0.35134822,1
0.06371155,0.05935035,1
0.68209898,0.37138641,1
0.67345941,0.32045367,1
0.74014533,0.51798141,1
0.85598671,0.47933084,1
0.23713863,0.73597676,1
0.07781474,0.45712718,1
0.54322535,0.51126295,1
0.55222398,0.62766755,1
0.64556551,0.28798231,1
0.41649106,0.70820159,1
0.93022519,0.69687945,0
0.58931655,0.31622815,1
0.61741859,0.78163308,1
0.77099079,0.59911788,1
0.11256991,0.92824244,1
0.48552579,0.22701730,1
0.27932540,0.73908156,1
0.63284981,0.35351402,1
0.82348633,0.87783366,0
0.03098752,0.20405920,1
0.39493093,0.26360273,1
0.89223224,0.29116347,1
0.17439763,0.67964840,1
0.74748510,0.73796010,0
0.00397564,0.28702033,1
0.05446308,0.44554344,1
0.87380511,0.92048395,0
0.40093744,0.94506598,0
0.02309619,0.48053908,1
0.90502483,0.46124732,0
0.94853526,0.14678088,1
0.15840532,0.52042001,1
0.89921999,0.05744680,1
0.39421359,0.69402868,1
0.44953096,0.01697760,1
0.43288031,0.23938811,1
0.77297276,0.11724260,1
0.45839462,0.66618240,1
0.38342947,0.39957151,1
0.25672451,0.99874502,0
0.24424350,0.28922170,1
0.09269258,0.70069891,1
0.48982096,0.48169217,1
0.26357988,0.87501067,1
0.33218920,0.90027332,1
0.33399367,0.22010249,1
0.97440350,0.96075457,0
0.43694136,0.65065086,1
0.13298026,0.64550966,1
0.41151133,0.72110713,1
0.90305179,0.36116925,1
0.13854352,0.66919851,1
0.38915166,0.64355433,1
0.47658458,0.44110003,1
0.60287821,0.35464522,1
0.26394263,0.88661170,1
0.41563162,0.87965751,1
0.99167794,0.30398646,0
0.26360863,0.60107321,1
0.39958465,0.94979364,0
0.34248146,0.74782574,1
0.03378769,0.15403070,1
0.34639767,0.28779426,1
0.66472667,0.93765295,0
0.16328734,0.04416841,1
0.41817766,0.97648853,0
0.72361672,0.88693488,0
0.44469944,0.66591907,1
0.71917343,0.21499127,1
0.02195869,0.68573225,1
0.45642781,0.63056517,1
0.16984282,0.15742581,1
0.49152300,0.01678493,1
0.08953048,0.83649987,1
0.86628699,0.24389236,1
0.13327740,0.80006236,1
0.36395833,0.25110787,1
0.30659586,0.39251405,1
0.50965875,0.47102007,1
0.79790038,0.24136345,1
0.10759842,0.84760582,1
0.27502039,0.38045892,1
0.82564789,0.65307063,0
0.28438890,0.06625228,1
0.77241325,0.25095326,1
0.69326431,0.28651181,1
0.26482469,0.89445621,1
0.10250526,0.21876636,1
0.43838996,0.73517573,1
0.38730580,0.81251669,1
0.01664601,0.98132455,1
0.32547554,0.45655608,1
0.16896945,0.40553990,1
0.83192414,0.97743320,0
0.18891217,0.18175659,1
0.72690856,0.38875705,1
0.80084229,0.27316445,1
0.25544992,0.39159200,1
0.57672262,0.68366200,1
0.39153752,0.37468922,1
0.87694001,0.00038961,1
0.85000068,0.69736624,0
0.02390310,0.67852843,1
0.87484789,0.57558596,0
0.41972330,0.23642433,1
0.15965381,0.56645411,1
0.99301845,0.74105763,0
0.93388993,0.07560531,1
0.77051806,0.09899261,1
0.90620255,0.86167097,0
0.73344916,0.00094862,1
0.20977731,0.29722998,1
0.20955296,0.91648960,1
0.19607478,0.90685707,1
