# iters=512 saturation_threads=36864
n,threads,gflops,ms,frac_of_saturation
1024,1024,819.200,0.00256,0.028
2048,2048,1706.667,0.00246,0.056
4096,4096,3366.575,0.00249,0.111
8192,8192,5015.511,0.00335,0.222
16384,16384,7740.472,0.00433,0.444
32768,32768,9497.971,0.00707,0.889
65536,65536,11497.543,0.01167,1.778
131072,131072,12326.520,0.02178,3.556
262144,262144,13063.655,0.04110,7.111
524288,524288,13318.069,0.08062,14.222
1048576,1048576,13515.480,0.15889,28.444
2097152,2097152,13581.124,0.31625,56.889
4194304,4194304,13518.384,0.63543,113.778
8388608,8388608,13332.887,1.28853,227.556
16777216,16777216,12947.215,2.65383,455.111
33554432,33554432,12435.090,5.52625,910.222
67108864,67108864,12535.708,10.96380,1820.444
134217728,134217728,12269.073,22.40413,3640.889
